Inc: IA No,Inc: Incident type,Inc: Received date,OffSnp: Title/rank,Off: First name,Off: Last name,Alg: Allegation,Alg: Finding,Act: Action taken,Act: Days/hours suspended,Act: Action taken date,Inc: Occurred date
IAD2013-0210,Citizen complaint,05/20/2013,"Police Officer
Police Officer","Jean G.
Jean G.","Jean Louis
Jean Louis","Neg.Duty/Unreasonable Judge
Respectful Treatment","Unfounded
Unfounded",,"0
0",,05/20/2013
IAD2013-0211,Citizen complaint,05/22/2013,Police Officer,John,Sullivan,Respectful Treatment,Not Sustained,,,,05/22/2013
IAD2013-0212,Citizen complaint,05/23/2013,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Thomas J
Timothy G.
Kurt J
Daniel P
Robert","Finn
Trull
Stokinger
Donahue
Newton","Use of Force
Use of Force
Use of Force
Use of Force
Use of Force","Not Sustained
Not Sustained
Not Sustained
Not Sustained
Not Sustained",,"0
0
0
0
0",,05/23/2011
IAD2013-0213,Internal investigation,05/28/2013,"Detective
Detective","Greg T
Greg T","Walsh
Walsh","CJIS Access
Neg.Duty/Unreasonable Judge","Unfounded
Unfounded",,"0
0",,02/12/2013
IAD2013-0214,Citizen complaint,05/28/2013,"Police Officer
Police Officer
Police Officer","Joseph
Omar A.
Omar A.","Downing
Cepeda
Cepeda","Use of Force
Use of Force
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained
Sustained","Oral Reprimand
Oral Reprimand","0
0
0","11/13/2017
11/13/2017",05/26/2013
IAD2013-0215,Citizen complaint,05/26/2013,Police Officer,,Unknown,Respectful Treatment,Not Sustained,,,,05/26/2013
IAD2013-0216,Citizen complaint,05/29/2013,Police Officer,Robert C,Boyle,Respectful Treatment,Not Sustained,,,,05/28/2013
IAD2013-0218,Citizen complaint,05/20/2013,Detective,Thomas V,Mcdonough,Neg.Duty/Unreasonable Judge,Unfounded,,,,10/07/2012
IAD2013-0219,Citizen complaint,05/29/2013,"Police Officer
Police Officer
Police Officer","Edward L
Charles F
Vincent R.","Gately
Flagg
Adduci","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Not Sustained
Unfounded
Not Sustained",,"0
0
0",,05/04/2013
IAD2013-0220,Citizen complaint,05/30/2013,"Police Officer
Police Officer","Wayne Emory
Wayne Emory","Hester
Hester","Respectful Treatment
Abuse of Process","Not Sustained
Exonerated",,"0
0",,05/19/2013
IAD2013-0221,Internal investigation,05/31/2013,"Police Officer
Police Officer","Michael B.
Michael B.","Baker
Baker","Untruthfulness
Controlled Substances (12 counts)","Not Sustained
Sustained","Deceased
Deceased","0
0","04/28/2016
04/28/2016",04/23/2013
IAD2013-0222,Citizen complaint,06/03/2013,"Police Officer
Sergeant","Beth E
Michael R.","Donovan
Donovan","Conformance to Laws
Conformance to Laws","Unfounded
Unfounded",,"0
0",,
IAD2013-0223,Citizen complaint,06/04/2013,Police Officer,,Unknown,Respectful Treatment,Not Sustained,,,,06/02/2013
IAD2013-0224,Citizen complaint,06/04/2013,Police Officer,Kirk D.,Merricks,Conduct Unbecoming,Sustained,Civil Service Hearing Decision,10,05/10/2018,06/04/2013
IAD2013-0225,Citizen complaint,06/04/2013,Police Officer,Kenneth,Kelly,Conduct Unbecoming,Unfounded,,,,11/16/2012
IAD2013-0227,Citizen complaint,05/29/2013,Police Officer,Brendan R.,England,Respectful Treatment,Exonerated,,,,05/29/2013
IAD2013-0228,Citizen complaint,06/04/2013,Police Officer,,Unknown,Respectful Treatment,Unfounded,,,,06/03/2013
IAD2013-0229,Citizen complaint,06/05/2013,"Police Officer
Police Officer","Michael John
Michael John","Boulger
Boulger","Abuse of Process
Respectful Treatment Bias","Exonerated
Not Sustained",,"0
0",,06/02/2013
IAD2013-0230,Citizen complaint,06/06/2013,Police Officer,,Unknown,Neg.Duty/Unreasonable Judge,Not Sustained,,,,06/05/2013
IAD2013-0231,Citizen complaint,06/12/2013,Police Officer,Sandro,Fonseca,Neg.Duty/Unreasonable Judge,Exonerated,,,,06/10/2013
IAD2013-0232,Citizen complaint,06/11/2013,"Police Officer
Police Officer","Mark C
Hugo R","Hennessy
Alvarez","Use of Force
Use of Force","Not Sustained
Not Sustained",,"0
0",,06/07/2013
IAD2013-0233,Citizen complaint,06/11/2013,"Police Officer
Police Officer","Horace N
John A","Kincade
Conway","Respectful Treatment
Respectful Treatment","Not Sustained
Not Sustained",,"0
0",,06/12/2013
IAD2013-0234,Citizen complaint,06/13/2013,"Police Officer
Police Officer","Timothy
Christopher M.","McCarthy
Holt","Use of Force
Use of Force","Exonerated
Exonerated",,"0
0",,06/08/2013
IAD2013-0235,Citizen complaint,06/13/2013,"Police Officer
Police Officer","Aaron F
Caitlin B","Dell
Haugh","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Unfounded
Unfounded",,"0
0",,06/13/2013
IAD2013-0238,Citizen complaint,06/14/2013,Police Officer,Cynthia M,Beckford-Brewington,Respectful Treatment,Not Sustained,,,,06/13/2013
IAD2013-0240,Citizen complaint,06/17/2013,Detective,Andrew J,Gambon,Neg.Duty/Unreasonable Judge,Exonerated,,,,06/04/2013
IAD2013-0241,Citizen complaint,06/17/2013,"Police Officer
Police Officer","Brian
Joseph M","Puzzo
Miskel","Respectful Treatment
Respectful Treatment","Not Sustained
Not Sustained",,"0
0",,06/15/2013
IAD2013-0242,Citizen complaint,06/18/2013,"Police Officer
Police Officer","Lyndon F
Lyndon F","Christian
Christian","Respectful Treatment
Pointing Firearms","Not Sustained
Exonerated",,"0
0",,06/17/2013
IAD2013-0243,Citizen complaint,06/19/2013,"Police Officer
Police Officer",,"Unknown
Unknown","Respectful Treatment
Respectful Treatment","Not Sustained
Not Sustained",,"0
0",,06/16/2013
IAD2013-0244,Citizen complaint,06/07/2013,"Sergeant
Sergeant","Wayne G
Wayne G","Clarke
Clarke","Conduct Unbecoming
Use of Force","Unfounded
Exonerated",,"0
0",,06/06/2013
IAD2013-0245,Citizen complaint,06/10/2013,Police Officer,Jorge L,Hernandez,Respectful Treatment,Not Sustained,,,,09/09/2013
IAD2013-0246,Citizen complaint,06/14/2013,Sergeant,John D.,Broderick,Conduct Unbecoming,Not Sustained,,,,06/11/2013
IAD2013-0247,Citizen complaint,06/15/2013,Police Officer,Vincent Michael,Cullen,Respectful Treatment,Not Sustained,,,,06/15/2013
IAD2013-0248,Internal investigation,06/19/2013,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Andrew C.
Andrew C.
Andrew C.
Andrew C.
Andrew C.
Andrew C.","Powers
Powers
Powers
Powers
Powers
Powers","Conduct Unbecoming (3 counts)
Conduct Unbecoming (3 counts)
Neg.Duty/Unreasonable Judge (3 counts)
Neg.Duty/Unreasonable Judge (3 counts)
Harassment Policy (3 counts)
Harassment Policy (3 counts)","Sustained
Sustained
Sustained
Sustained
Sustained
Sustained","Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement","15
30
15
30
15
30","07/13/2015
07/13/2015
07/13/2015
07/13/2015
07/13/2015
07/13/2015",06/04/2013
IAD2013-0249,Citizen complaint,06/20/2013,"Police Officer
Police Officer
Police Officer
Police Officer","Andrew
Andrew
Andrew
Anthony C.","Crosby
Crosby
Crosby
Puopolo","Neg.Duty/Unreasonable Judge
Respectful Treatment
Respectful Treatment
Neg.Duty/Unreasonable Judge","Exonerated
Not Sustained
Sustained
Exonerated","Oral Reprimand
Oral Reprimand
Oral Reprimand
","0
0
0
0","06/19/2019
06/19/2019
06/19/2019
",06/20/2013
IAD2013-0250,Citizen complaint,06/19/2013,Police Officer,Steven G,Parham,Respectful Treatment,Not Sustained,,,,06/19/2013
IAD2013-0251,Citizen complaint,06/20/2013,Police Officer,Charbel B.,Kamel,Respectful Treatment,Unfounded,,,,06/19/2013
IAD2013-0252,Internal investigation,06/25/2013,Police Officer,John R,McInerney,Directives/Orders,Sustained,Retired,,05/29/2015,05/27/2013
IAD2013-0253,Citizen complaint,06/19/2013,Police Officer,Kevin,Woodside,Neg.Duty/Unreasonable Judge,Exonerated,,,,05/24/2013
IAD2013-0254,Internal investigation,06/25/2013,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Jennifer J.
Jennifer J.
Jennifer J.
Jennifer J.
Jennifer J.","Penton
Penton
Penton
Penton
Penton","Directives/Orders
Neg.Duty/Unreasonable Judge (2 counts)
Untruthfulness
Department Motor Vehicle Accidents, Notifications
Department Motor Vehicle Accidents, Reporting","Sustained
Sustained
Not Sustained
Sustained
Sustained","Resigned Charges Pending
Resigned Charges Pending
Resigned Charges Pending
Resigned Charges Pending
Resigned Charges Pending","0
0
0
0
0","09/26/2015
09/26/2015
09/26/2015
09/26/2015
09/26/2015",06/09/2013
IAD2013-0255,Citizen complaint,06/22/2013,Police Officer,Marlisa,Bell,Respectful Treatment,Not Sustained,,,,06/22/2013
IAD2013-0256,Citizen complaint,11/16/2012,"Police Officer
Police Officer
Police Officer","Ludwig H
Ludwig H
Ludwig H","Castillo
Castillo
Castillo","Conformance to Laws
Use of Force
Abuse of Process","Unfounded
Exonerated
Unfounded",,"0
0
0",,02/18/2012
IAD2013-0257,Citizen complaint,06/12/2013,Sergeant,Brendan P.,Walsh,Respectful Treatment,Exonerated,,,,06/06/2013
IAD2013-0258,Citizen complaint,06/25/2013,"Police Officer
Police Officer
Police Officer
Police Officer","Joseph
Joseph
Charbel B.
Charbel B.","Hynes
Hynes
Kamel
Kamel","Self Identification
Use of Force
Use of Force
Respectful Treatment","Not Sustained
Not Sustained
Not Sustained
Not Sustained",,"0
0
0
0",,06/21/2013
IAD2013-0259,Citizen complaint,06/25/2013,Police Officer,Craig D,Jones,Respectful Treatment,Not Sustained,,,,06/24/2013
IAD2013-0261,Citizen complaint,06/27/2013,Detective,Brian T.,Gill,Use of Force,Not Sustained,,,,06/09/2013
IAD2013-0263,Internal investigation,07/02/2013,Lieutenant,Stephen C,Cawley,Conduct Unbecoming,Not Sustained,,,,
IAD2013-0264,Internal investigation,07/03/2013,"Police Officer
Police Officer","Brenda
Brenda","James
James","Substance Abuse Policy
Change of Address Notification Violation","Sustained
Sustained","Administrative Hearing-Termination
Administrative Hearing-Termination","0
0","03/18/2015
03/18/2015",07/02/2013
IAD2013-0265,Citizen complaint,07/03/2013,Police Officer,Stephen P,O'Connell,Untruthfulness in Department Report,Unfounded,,,,07/03/2013
IAD2013-0266,Citizen complaint,07/06/2013,Police Officer,,Unknown,Neg.Duty/Unreasonable Judge,Not Sustained,,,,07/04/2013
IAD2013-0268,Internal investigation,07/08/2013,"Police Officer
Police Officer","John P.
John P.","Ridge
Ridge","Conformance to Laws
Conduct Unbecoming","Not Sustained
Not Sustained","Retired with Charges Pending
Retired with Charges Pending","0
0","05/31/2016
05/31/2016",07/07/2013
IAD2013-0269,Internal investigation,07/08/2013,Police Officer,Eddie,Odney,Detail Assignment,Sustained,Resigned Charges Pending,,08/08/2016,06/18/2013
IAD2013-0270,Citizen complaint,07/10/2013,"Police Officer
Police Officer","Gary
Gary","Barker Jr.
Barker Jr.","Conduct Unbecoming
Conduct Unbecoming","Not Sustained
Exonerated",,"0
0",,07/03/2013
IAD2013-0274,Citizen complaint,07/12/2013,Police Officer,Lakenya L.,Webster,Respectful Treatment,Not Sustained,,,,07/12/2013
IAD2013-0275,Citizen complaint,07/11/2013,"Police Officer
Police Officer
Police Officer","Tony Y
Lakenya L.
Elias","Szeto
Webster
Cruz","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Unfounded
Unfounded
Unfounded",,"0
0
0",,07/10/2013
IAD2013-0276,Citizen complaint,07/15/2013,Police Officer,Peter N,Fontanez,Respectful Treatment,Not Sustained,,,,07/15/2013
IAD2013-0277,Citizen complaint,07/12/2013,Police Officer,,Unknown,Respectful Treatment,Not Sustained,,,,07/12/2013
IAD2013-0279,Citizen complaint,07/17/2013,Detective,Roque D,Heath,Neg.Duty/Unreasonable Judge,Unfounded,,,,05/28/2008
IAD2013-0280,Citizen complaint,07/17/2013,Police Officer,Denis J,Fitzpatrick,Respectful Treatment,Unfounded,,,,07/04/2013
IAD2013-0281,Internal investigation,07/18/2013,Police Officer,Kirk D.,Merricks,Conformance to Laws,Not Sustained,,,,07/12/2013
IAD2013-0284,Internal investigation,07/17/2013,Police Officer,Terrence Shane,Burke,Conduct Unbecoming,Sustained,Suspension,1,07/12/2016,07/14/2013
IAD2013-0286,Citizen complaint,07/23/2013,Police Officer,Loletha,Graham-Smith,Respectful Treatment,Exonerated,,,,07/21/2013
IAD2013-0287,Citizen complaint,07/24/2013,Police Officer,,Unknown,Respectful Treatment,Not Sustained,,,,07/20/2013
IAD2013-0288,Citizen complaint,07/24/2013,"Police Officer
Police Officer",Christopher R,"Unknown
Stevens","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained",,"0
0",,07/19/2013
IAD2013-0289,Citizen complaint,07/23/2013,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Joslin A
Joslin A
Joslin A
Joslin A
Joslin A
Joslin A
Rohan
Rohan","Pierre-Thomas
Pierre-Thomas
Pierre-Thomas
Pierre-Thomas
Pierre-Thomas
Pierre-Thomas
Nicholas
Nicholas","Conduct Unbecoming
Conduct Unbecoming
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Conformance to Laws (2 counts)
Conformance to Laws (2 counts)
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Sustained
Sustained
Sustained
Sustained
Sustained
Sustained
Sustained
Sustained","Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance","260
130
260
130
260
130
3
2","07/30/2014
07/30/2014
07/30/2014
07/30/2014
07/30/2014
07/30/2014
07/03/2014
07/03/2014",07/23/2013
IAD2013-0290,Citizen complaint,07/22/2013,Police Officer,,Unknown,Respectful Treatment,Not Sustained,,,,07/09/2013
IAD2013-0291,Internal investigation,07/26/2013,"Detective
Detective
Lieutenantenant Detective
Sergeant Detective
Sergeant Detective","Jerome A
Jerome A
Patrick J
Thomas J.
Timothy M","Hall-Brewster
Hall-Brewster
Cullity
O'leary
Horan","Neg.Duty/Unreasonable Judge (2 counts)
Directives/Orders (2 counts)
Accountability
Accountability
Accountability","Sustained
Sustained
Sustained
Sustained
Sustained","Demotion
Demotion
Oral Reprimand
Oral Reprimand
Oral Reprimand","0
0
0
0
0","07/30/2013
07/30/2013
10/16/2013
10/16/2013
10/16/2013",09/28/2012
IAD2013-0292,Citizen complaint,07/22/2013,"Detective
Detective
Detective
Police Officer","Michael M
Michael M
Michael M
Sean","Ross
Ross
Ross
Flaherty","Neg.Duty/Unreasonable Judge (2 counts)
Self Identification
Respectful Treatment
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained
Not Sustained
Not Sustained",,"0
0
0
0",,07/12/2013
IAD2013-0296,Citizen complaint,07/26/2013,"Police Officer
Police Officer","Paul J
Paul J","Downey
Downey","Use of Force
Neg.Duty/Unreasonable Judge","Exonerated
Exonerated",,"0
0",,07/25/2013
IAD2013-0297,Citizen complaint,07/29/2013,"Sergeant
Sergeant
Police Officer
Police Officer
Police Officer","Sean
Sean
Luis M
Michael
David","Martin
Martin
Anjos
Orourke
Bianchetto","Respectful Treatment
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Not Sustained
Exonerated
Exonerated
Exonerated
Exonerated",,"0
0
0
0
0",,07/01/2012
IAD2013-0298,Citizen complaint,07/26/2013,"Sergeant
Police Officer","Joel Christopher
Dowayne O.","Mccarthy
Lewis","Respectful Treatment
Neg.Duty/Unreasonable Judge","Unfounded
Unfounded",,"0
0",,07/24/2013
IAD2013-0299,Citizen complaint,07/26/2013,"Lieutenant
Lieutenant
Police Officer
Police Officer","John C.
John C.
Reginald J
Reginald J","Hughes
Hughes
Pinckney
Pinckney","Neg.Duty/Unreasonable Judge
Respectful Treatment
Neg.Duty/Unreasonable Judge
Respectful Treatment","Not Sustained
Not Sustained
Not Sustained
Not Sustained",,"0
0
0
0",,07/26/2013
IAD2013-0300,Citizen complaint,07/29/2013,"Police Officer
Police Officer","Jose
Jose","Gomes
Gomes","Conduct Unbecoming
Conformance to Laws","Unfounded
Unfounded",,"0
0",,07/29/2013
IAD2013-0304,Citizen complaint,07/29/2013,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","W. Scot
W. Scot
W. Scot
W. Scot
Eric C","Green
Green
Green
Green
Byron","Respectful Treatment
Respectful Treatment
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Respectful Treatment","Not Sustained
Not Sustained
Sustained
Sustained
Not Sustained","Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
","45
40
45
40
0","11/27/2019
11/27/2019
11/27/2019
11/27/2019
",07/28/2013
IAD2013-0305,Citizen complaint,07/29/2013,Police Officer,Andrew L,Johnson,Respectful Treatment,Unfounded,,,,07/29/2013
IAD2013-0306,Citizen complaint,07/31/2013,Police Officer,,Unknown,Neg.Duty/Unreasonable Judge,Exonerated,,,,07/30/2013
IAD2013-0307,Citizen complaint,07/30/2013,"Sergeant Detective
Detective","William J
Thomas","Dwan
Leahy","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Unfounded
Unfounded",,"0
0",,11/24/2012
IAD2013-0308,Citizen complaint,07/31/2013,"Police Officer
Police Officer","Craig A
Karl","Wozniak
Dugal","Respectful Treatment
Respectful Treatment","Not Sustained
Not Sustained",,"0
0",,11/24/2012
IAD2013-0309,Citizen complaint,07/31/2013,Police Officer,Joseph M.,Zanoli,Respectful Treatment,Not Sustained,,,,07/30/2013
IAD2013-0310,Citizen complaint,07/31/2013,Police Officer,Michael P,Pankievich,Neg.Duty/Unreasonable Judge,Exonerated,,,,07/30/2013
IAD2013-0311,Citizen complaint,07/30/2013,Police Officer,Shana,Cottone,Neg.Duty/Unreasonable Judge,Exonerated,,,,07/30/2013
IAD2013-0312,Citizen complaint,07/29/2013,Police Officer,,Unknown,Respectful Treatment,Unfounded,,,,07/27/2013
IAD2013-0313,Citizen complaint,07/23/2013,"Detective
Police Officer","Robert A
Taylor S.","Griffin
Small","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Unfounded
Unfounded",,"0
0",,11/08/2012
IAD2013-0316,Citizen complaint,08/05/2013,"Police Officer
Police Officer","John J.
Shaun M","O'Keefe
McBrien","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Unfounded
Unfounded",,"0
0",,08/02/2013
IAD2013-0318,Citizen complaint,08/05/2013,Police Officer,Maria P,Galvao,Neg.Duty/Unreasonable Judge,Exonerated,,,,08/04/2013
IAD2013-0319,Citizen complaint,08/06/2013,"Detective
Police Officer
Police Officer
Lieutenantenant Detective
Lieutenantenant Detective
Police Officer","Peter
Charles R.
Charles R.
Robert M
Robert M
","Chu
Moore
Moore
Merner
Merner
Unknown","Respectful Treatment
Use of Force
Respectful Treatment
Respectful Treatment
Use of Force
Respectful Treatment","Not Sustained
Not Sustained
Not Sustained
Not Sustained
Not Sustained
Not Sustained",,"0
0
0
0
0
0",,06/07/2013
IAD2013-0323,Citizen complaint,08/09/2013,"Police Officer
Depsup","Jahad
Colm P.","Hasan
Lydon","Use of Force
Use of Force","Exonerated
Exonerated",,"0
0",,06/01/2013
IAD2013-0324,Citizen complaint,08/09/2013,Police Officer,David A,Macioce,Respectful Treatment,Not Sustained,,,,08/09/2013
IAD2013-0325,Citizen complaint,08/09/2013,Police Officer,Edward Joseph,Nolan,Respectful Treatment,Sustained,Oral Reprimand,,07/12/2016,08/04/2013
IAD2013-0326,Citizen complaint,08/12/2013,Sergeant,James A,Moore,Neg.Duty/Unreasonable Judge,Not Sustained,,,,08/11/2013
IAD2013-0327,Citizen complaint,08/12/2013,Sergeant,James A,Moore,Neg.Duty/Unreasonable Judge,Not Sustained,,,,08/11/2013
IAD2013-0328,Citizen complaint,08/13/2013,"Detective
Detective
Detective","Kenneth C
Kenneth C
Kenneth C","Dorch
Dorch
Dorch","Neg.Duty/Unreasonable Judge
Police Service
Department Reports-Inacurrate Reporting","Sustained
Sustained
Sustained","Retired
Retired
Retired","0
0
0","09/01/2014
09/01/2014
09/01/2014",08/11/2013
IAD2013-0329,Citizen complaint,08/12/2013,Police Officer,,Unknown,Use of Force,Not Sustained,,,,08/11/2013
IAD2013-0330,Citizen complaint,08/11/2013,"Police Officer
Police Officer","David L
Timothy S","Hale
Cunningham","Respectful Treatment
Respectful Treatment","Unfounded
Unfounded",,"0
0",,08/11/2013
IAD2013-0331,Citizen complaint,08/13/2013,"Police Officer
Police Officer
Police Officer
Police Officer","Joseph
Joseph
Jessica
Jessica","Hynes
Hynes
Coppney
Coppney","Neg.Duty/Unreasonable Judge
Situation Warranting Completion of FIOE Report
Neg.Duty/Unreasonable Judge
Situation Warranting Completion of FIOE Report","Exonerated
Exonerated
Exonerated
Exonerated",,"0
0
0
0",,08/13/2013
IAD2013-0332,Citizen complaint,08/15/2013,Police Officer,Steven P,Ashman,Conduct Unbecoming,Exonerated,,,,08/01/2013
IAD2013-0333,Citizen complaint,08/14/2013,Police Officer,Michael E,Felton,Respectful Treatment,Exonerated,,,,08/14/2013
IAD2013-0334,Internal investigation,08/14/2013,Police Officer,Steven,Smigliani,Emergency Driving,Sustained,Oral Reprimand,,07/11/2019,07/25/2013
IAD2013-0335,Citizen complaint,08/14/2013,Police Officer,Leonard J.,Lilly,Respectful Treatment,Not Sustained,,,,08/14/2013
IAD2013-0336,Citizen complaint,08/15/2013,Police Officer,Lorenzo I,Woodley,Conduct Unbecoming,Exonerated,,,,08/15/2013
IAD2013-0337,Citizen complaint,08/19/2013,Police Officer,Shawn J.,McCarthy,Respectful Treatment,Not Sustained,,,,08/18/2013
IAD2013-0338,Citizen complaint,08/17/2013,"Police Officer
Sergeant
Sergeant","Luke B
David L
David L","Holbrook
O'connor
O'connor","Abuse of Process
Neg.Duty/Unreasonable Judge
Untruthfulness","Unfounded
Sustained
Not Sustained","Oral Reprimand
Oral Reprimand","0
0
0","03/16/2015
03/16/2015",09/26/2011
IAD2013-0339,Citizen complaint,08/19/2013,Police Officer,Rance,Cooley,Neg.Duty/Unreasonable Judge,Unfounded,,,,08/18/2013
IAD2013-0340,Internal investigation,08/20/2013,Police Officer,Terrence Shane,Burke,Neg.Duty/Unreasonable Judge,Exonerated,,,,07/22/2013
IAD2013-0341,Citizen complaint,08/21/2013,"Police Officer
Police Officer
Police Officer","Leonard F
Leonard F
Leonard F","Brown
Brown
Brown","Conformance to Laws
Conduct Unbecoming
Alcohol off Duty","Sustained
Sustained
Sustained","Resigned Charges Pending
Resigned Charges Pending
Resigned Charges Pending","0
0
0","04/16/2014
04/16/2014
04/16/2014",
IAD2013-0342,Citizen complaint,08/20/2013,Police Officer,Brian D,Cameron,Respectful Treatment,Not Sustained,,,,08/15/2013
IAD2013-0343,Citizen complaint,08/20/2013,"Sergeant
Sergeant
Sergeant","Clayton
Clayton
Clayton","Pressley
Pressley
Pressley","Conduct Unbecoming
Alcohol off Duty
Respectful Treatment","Not Sustained
Not Sustained
Not Sustained",,"0
0
0",,08/20/2013
IAD2013-0344,Citizen complaint,08/21/2013,Police Officer,Cavan,Dunn,Respectful Treatment,Not Sustained,,,,08/21/2013
IAD2013-0345,Citizen complaint,08/21/2013,"Police Officer
Police Officer
Police Officer
Police Officer
Detective
Detective
Police Officer
Police Officer","Robert M
Robert M
Jason M           
Jason M           
Patrick
Patrick
William F.
William F.","Lundbohm
Lundbohm
Ezekiel
Ezekiel
Browning
Browning
Haley
Haley","Respectful Treatment (2 counts)
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Respectful Treatment
Neg.Duty/Unreasonable Judge
Respectful Treatment
Respectful Treatment
Neg.Duty/Unreasonable Judge","Not Sustained
Unfounded
Unfounded
Not Sustained
Not Sustained
Not Sustained
Not Sustained
Unfounded",,"0
0
0
0
0
0
0
0",,08/20/2013
IAD2013-0346,Citizen complaint,08/21/2013,Police Officer,Lucie,Andre,Respectful Treatment,Sustained,Oral Reprimand,,01/29/2020,08/21/2013
IAD2013-0347,Citizen complaint,08/22/2013,Detective,Steven M,Charbonnier,Neg.Duty/Unreasonable Judge,Exonerated,,,,08/22/2013
IAD2013-0348,Internal investigation,08/22/2013,"Police Officer
Police Officer","Joseph M.
Lawrence D","Zanoli
Welch","Conduct Unbecoming
Untruthfulness","Not Sustained
Not Sustained",,"0
0",,
IAD2013-0349,Citizen complaint,08/23/2013,"Police Officer
Police Officer
Police Officer
Police Officer","Caetano A
Caetano A
Thuan D
Thuan D","Teixeira
Teixeira
Lai
Lai","Neg.Duty/Unreasonable Judge
Respectful Treatment
Neg.Duty/Unreasonable Judge
Respectful Treatment","Unfounded
Unfounded
Unfounded
Unfounded",,"0
0
0
0",,08/20/2013
IAD2013-0352,Citizen complaint,08/22/2013,Police Officer,,Unknown,Neg.Duty/Unreasonable Judge,Not Sustained,,,,08/20/2013
IAD2013-0353,Citizen complaint,08/22/2013,"Police Officer
Police Officer","Anthony
Edward K","Cutone
Kwok","Use of Force
Use of Force","Unfounded
Unfounded",,"0
0",,08/16/2013
IAD2013-0354,Citizen complaint,08/26/2013,"Lieutenantenant Detective
Detective","Charles E
Cary","Wilson
Chin","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Exonerated
Exonerated",,"0
0",,07/06/2013
IAD2013-0355,Citizen complaint,08/29/2013,Police Officer,Amy,Hamilton,Neg.Duty/Unreasonable Judge,Exonerated,,,,08/29/2013
IAD2013-0356,Citizen complaint,08/29/2013,Police Officer,Samuel J,Berte,Respectful Treatment,Exonerated,,,,08/29/2013
IAD2013-0357,Citizen complaint,08/31/2013,Police Officer,Keith R.,Wood,Abuse of Process,Unfounded,,,,08/31/2013
IAD2013-0358,Citizen complaint,08/27/2013,"Detective
Detective","John N
John N","Foundas
Foundas","Conduct Unbecoming
Conformance to Laws","Sustained
Sustained","Oral Reprimand
Oral Reprimand","0
0","05/11/2015
05/11/2015",07/14/2013
IAD2013-0359,Citizen complaint,08/29/2013,Police Officer,Stephen J,Canto,Conduct Unbecoming,Exonerated,,,,07/30/2013
IAD2013-0360,Citizen complaint,08/30/2013,"Police Officer
Sergeant","Monicka D.
Timothy G","Stinson
Fitzpatrick","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained",,"0
0",,08/30/2013
IAD2013-0362,Citizen complaint,09/03/2013,Police Officer,Brendan R.,England,Respectful Treatment,Not Sustained,,,,09/03/2013
IAD2013-0363,Citizen complaint,09/03/2013,Police Officer,Allison Patricia,McHale,Respectful Treatment,Not Sustained,,,,09/03/2013
IAD2013-0366,Citizen complaint,09/04/2013,"Police Officer
Police Officer
Police Officer","Sabrina
Sabrina
Diane","Gill
Gill
Gill","Conduct Unbecoming
Respectful Treatment
Respectful Treatment","Unfounded
Not Sustained
Not Sustained",,"0
0
0",,08/03/2013
IAD2013-0368,Citizen complaint,09/04/2013,Detective,Paul A,Painten,Use of Force,Not Sustained,,,,09/01/2013
IAD2013-0369,Citizen complaint,09/06/2013,Police Officer,Karl C,Truong,Respectful Treatment,Exonerated,,,,09/05/2013
